"","Specimen.ID","Genus","Species","Serotype","Data.Year","AZM.Rslt"
"1","2015AM-0001","Salmonella","enterica","Enteritidis",2015,2
"2","2015AM-0005","Salmonella","enterica","Baildon",2015,2
"3","2015AM-0006","Salmonella","enterica","IV 48:z4,z32:-",2015,4
"4","2015AM-0007","Salmonella","enterica","Newport",2015,2
"5","2015AM-0014","Salmonella","enterica","Hartford",2015,4
"6","2015AM-0015","Salmonella","enterica","Typhimurium",2015,2
"7","2015AM-0046","Salmonella","enterica","Derby",2015,4
"8","2015AM-0047","Salmonella","enterica","Heidelberg",2015,4
"9","2015AM-0048","Salmonella","enterica","Javiana",2015,2
"10","2015AM-0049","Salmonella","enterica","Mbandaka",2015,4
"11","2015AM-0051","Salmonella","enterica","Poona",2015,4
"12","2015AM-0052","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"13","2015AM-0053","Salmonella","enterica","Enteritidis",2015,2
"14","2015AM-0056","Salmonella","enterica","Typhimurium",2015,4
"15","2015AM-0058","Salmonella","enterica","Enteritidis",2015,4
"16","2015AM-0061","Salmonella","enterica","Agona",2015,4
"17","2015AM-0062","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"18","2015AM-0063","Salmonella","enterica","Enteritidis",2015,2
"19","2015AM-0064","Salmonella","enterica","I 4,[5],12:i:-",2015,2
"20","2015AM-0065","Salmonella","enterica","Panama",2015,4
"21","2015AM-0066","Salmonella","enterica","Muenster",2015,2
"22","2015AM-0068","Salmonella","enterica","Enteritidis",2015,2
"23","2015AM-0069","Salmonella","enterica","Monschaui",2015,2
"24","2015AM-0070","Salmonella","enterica","Rubislaw",2015,2
"25","2015AM-0072","Salmonella","enterica","Uganda",2015,2
"26","2015AM-0079","Salmonella","enterica","Enteritidis",2015,2
"27","2015AM-0081","Salmonella","enterica","Typhimurium",2015,4
"28","2015AM-0082","Salmonella","enterica","Typhimurium",2015,2
"29","2015AM-0084","Salmonella","enterica","Braenderup",2015,4
"30","2015AM-0087","Salmonella","enterica","Enteritidis",2015,4
"31","2015AM-0088","Salmonella","enterica","Javiana",2015,4
"32","2015AM-0089","Salmonella","enterica","Newport",2015,2
"33","2015AM-0091","Salmonella","enterica","Baildon",2015,2
"34","2015AM-0092","Salmonella","enterica","Brandenburg",2015,4
"35","2015AM-0093","Salmonella","enterica","Enteritidis",2015,2
"36","2015AM-0094","Salmonella","enterica","Enteritidis",2015,2
"37","2015AM-0095","Salmonella","enterica","Enteritidis",2015,4
"38","2015AM-0096","Salmonella","enterica","Havana",2015,16
"39","2015AM-0097","Salmonella","enterica","Typhimurium",2015,2
"40","2015AM-0103","Salmonella","enterica","Agbeni",2015,4
"41","2015AM-0105","Salmonella","enterica","Enteritidis",2015,2
"42","2015AM-0106","Salmonella","enterica","Muenchen",2015,2
"43","2015AM-0107","Salmonella","enterica","Typhimurium",2015,2
"44","2015AM-0108","Salmonella","enterica","Newport",2015,2
