"","Specimen.ID","Genus","Species","Serotype","Data.Year","CIP.Rslt"
"1","2015AM-0001","Salmonella","enterica","Enteritidis",2015,0.015
"2","2015AM-0005","Salmonella","enterica","Baildon",2015,0.015
"3","2015AM-0006","Salmonella","enterica","IV 48:z4,z32:-",2015,0.015
"4","2015AM-0007","Salmonella","enterica","Newport",2015,0.015
"5","2015AM-0014","Salmonella","enterica","Hartford",2015,0.015
"6","2015AM-0015","Salmonella","enterica","Typhimurium",2015,0.015
"7","2015AM-0046","Salmonella","enterica","Derby",2015,0.015
"8","2015AM-0047","Salmonella","enterica","Heidelberg",2015,0.015
"9","2015AM-0048","Salmonella","enterica","Javiana",2015,0.015
"10","2015AM-0049","Salmonella","enterica","Mbandaka",2015,0.015
"11","2015AM-0051","Salmonella","enterica","Poona",2015,0.015
"12","2015AM-0052","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"13","2015AM-0053","Salmonella","enterica","Enteritidis",2015,0.015
"14","2015AM-0056","Salmonella","enterica","Typhimurium",2015,0.015
"15","2015AM-0058","Salmonella","enterica","Enteritidis",2015,0.015
"16","2015AM-0061","Salmonella","enterica","Agona",2015,0.015
"17","2015AM-0062","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"18","2015AM-0063","Salmonella","enterica","Enteritidis",2015,0.12
"19","2015AM-0064","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"20","2015AM-0065","Salmonella","enterica","Panama",2015,0.12
"21","2015AM-0066","Salmonella","enterica","Muenster",2015,0.015
"22","2015AM-0068","Salmonella","enterica","Enteritidis",2015,0.015
"23","2015AM-0069","Salmonella","enterica","Monschaui",2015,0.015
"24","2015AM-0070","Salmonella","enterica","Rubislaw",2015,0.015
"25","2015AM-0072","Salmonella","enterica","Uganda",2015,0.015
"26","2015AM-0079","Salmonella","enterica","Enteritidis",2015,0.015
"27","2015AM-0081","Salmonella","enterica","Typhimurium",2015,0.015
"28","2015AM-0082","Salmonella","enterica","Typhimurium",2015,0.015
"29","2015AM-0084","Salmonella","enterica","Braenderup",2015,0.015
"30","2015AM-0087","Salmonella","enterica","Enteritidis",2015,0.015
"31","2015AM-0088","Salmonella","enterica","Javiana",2015,0.015
"32","2015AM-0089","Salmonella","enterica","Newport",2015,0.015
"33","2015AM-0091","Salmonella","enterica","Baildon",2015,0.015
"34","2015AM-0092","Salmonella","enterica","Brandenburg",2015,0.015
"35","2015AM-0093","Salmonella","enterica","Enteritidis",2015,0.12
"36","2015AM-0094","Salmonella","enterica","Enteritidis",2015,0.12
"37","2015AM-0095","Salmonella","enterica","Enteritidis",2015,0.015
"38","2015AM-0096","Salmonella","enterica","Havana",2015,2
"39","2015AM-0097","Salmonella","enterica","Typhimurium",2015,0.015
"40","2015AM-0103","Salmonella","enterica","Agbeni",2015,0.015
"41","2015AM-0105","Salmonella","enterica","Enteritidis",2015,0.015
"42","2015AM-0106","Salmonella","enterica","Muenchen",2015,0.015
"43","2015AM-0107","Salmonella","enterica","Typhimurium",2015,0.015
"44","2015AM-0108","Salmonella","enterica","Newport",2015,0.015
"45","2015AM-0109","Salmonella","enterica","Typhimurium",2015,0.015
"46","2015AM-0110","Salmonella","enterica","Typhimurium",2015,0.015
"47","2015AM-0115","Salmonella","enterica","Anatum",2015,0.015
"48","2015AM-0116","Salmonella","enterica","Berta",2015,0.015
"49","2015AM-0117","Salmonella","enterica","Braenderup",2015,0.015
"50","2015AM-0118","Salmonella","enterica","Dublin",2015,0.25
"51","2015AM-0119","Salmonella","enterica","Enteritidis",2015,0.015
"52","2015AM-0120","Salmonella","enterica","I Rough:z:1,6",2015,0.015
"53","2015AM-0121","Salmonella","enterica","Infantis",2015,0.015
"54","2015AM-0122","Salmonella","enterica","Oranienburg",2015,0.015
"55","2015AM-0123","Salmonella","enterica","Typhimurium",2015,0.015
"56","2015AM-0125","Salmonella","enterica","Enteritidis",2015,0.03
"57","2015AM-0126","Salmonella","enterica","Enteritidis",2015,0.03
"58","2015AM-0127","Salmonella","enterica","Heidelberg",2015,0.25
"59","2015AM-0128","Salmonella","enterica","I 4,[5],12:i:-",2015,0.12
"60","2015AM-0139","Salmonella","enterica","Typhimurium",2015,0.015
"61","2015AM-0140","Salmonella","enterica","Typhimurium",2015,0.5
"62","2015AM-0141","Salmonella","enterica","Typhimurium",2015,0.03
"63","2015AM-0182","Salmonella","enterica","Heidelberg",2015,0.015
"64","2015AM-0183","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"65","2015AM-0184","Salmonella","enterica","Infantis",2015,0.015
"66","2015AM-0185","Salmonella","enterica","Infantis",2015,0.015
"67","2015AM-0186","Salmonella","enterica","Isangi",2015,0.015
"68","2015AM-0187","Salmonella","enterica","Javiana",2015,0.015
"69","2015AM-0188","Salmonella","enterica","Typhimurium",2015,0.015
"70","2015AM-0198","Salmonella","enterica","Braenderup",2015,0.015
"71","2015AM-0199","Salmonella","enterica","Clackamas",2015,0.015
"72","2015AM-0200","Salmonella","enterica","Dublin",2015,0.03
"73","2015AM-0201","Salmonella","enterica","Enteritidis",2015,0.015
"74","2015AM-0202","Salmonella","enterica","Hadar",2015,0.015
"75","2015AM-0203","Salmonella","enterica","Heidelberg",2015,0.015
"76","2015AM-0204","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"77","2015AM-0205","Salmonella","enterica","I 4,[5],12:i:-",2015,0.015
"78","2015AM-0227","Salmonella","enterica","Enteritidis",2015,0.015
"79","2015AM-0228","Salmonella","enterica","Krefeld",2015,0.03
"80","2015AM-0229","Salmonella","enterica","Oranienburg",2015,0.015
"81","2015AM-0232","Salmonella","enterica","Saintpaul",2015,0.5
"82","2015AM-0234","Salmonella","enterica","Typhimurium",2015,0.015
"83","2015AM-0235","Salmonella","enterica","Typhimurium",2015,0.015
"84","2015AM-0240","Salmonella","enterica","Kiambu",2015,0.03
"85","2015AM-0241","Salmonella","enterica","Newport",2015,0.015
"86","2015AM-0242","Salmonella","enterica","Thompson",2015,0.015
"87","2015AM-0244","Salmonella","enterica","Typhimurium",2015,0.015
"88","2015AM-0247","Salmonella","enterica","Enteritidis",2015,0.015
